text,summary,combined
"Section_24: Unto which words, the King answered, What my brother marquis has done I cannot say. But in good faith I dare well answer for mine uncle Rivers and my brother here, that they be innocent of any such matters.ù Yea, my Liege,ù said the Duke of Buckingham, they have kept their dealing in these matters far from the knowledge of your good Grace.ù And forthwith they arrested the Lord Richard and Sir Thomas Vaughan, knight, in the King's presence, and brought the King and all back unto Northampton, where they took again further counsel. And there they sent away from the King whomever it pleased them, and set new servants about him, such as liked them better than him. At which dealing he wept and was nothing content, but it remedied not. And at dinner the Duke of Gloucester sent a dish from his own table to the Lord Rivers, praying him to be of good cheer, all should be well enough. And he thanked the Duke, and prayed the messenger to bear it to his nephew, the Lord Richard, with the same message for his comfort, who he thought had more need of comfort, as one to whom such adversity was foreign. But for himself, he had been all his days used to a life therewith, and therefore could bear it the better. But for all this comfortable courtesy of the Duke of Gloucester, he sent the Lord Rivers and the Lord Richard with Sir Thomas Vaughan into the north country to different places to prison and, afterwards, all to Pomfrait, where they were, in conclusion, beheaded. In this way the Duke of Gloucester took upon himself the order and governance of the young king, whom, with much honor and humble reverence, he conveyed upward toward the city.","Section_24:  The Duke of Gloucester took upon himself the order and governance of the young king after the death of King Edward IV. He arrested the Lord Richard and Sir Thomas Vaughan in the King's presence and took them to Northampton. There they sent away from the King whomever it pleased them, and set new servants about him. The Duke of Gloucester sent a dish from his own table to the Lord Rivers, praying him to be of good cheer. The Lord Rivers and the Lord Richard were sent with Sir Thomas Vaughan to different places to prison and, afterwards, all to Pomfrait, where they were beheaded.","Summary: Section_24: Unto which words, the King answered, What my brother marquis has done I cannot say. But in good faith I dare well answer for mine uncle Rivers and my brother here, that they be innocent of any such matters.ù Yea, my Liege,ù said the Duke of Buckingham, they have kept their dealing in these matters far from the knowledge of your good Grace.ù And forthwith they arrested the Lord Richard and Sir Thomas Vaughan, knight, in the King's presence, and brought the King and all back unto Northampton, where they took again further counsel. And there they sent away from the King whomever it pleased them, and set new servants about him, such as liked them better than him. At which dealing he wept and was nothing content, but it remedied not. And at dinner the Duke of Gloucester sent a dish from his own table to the Lord Rivers, praying him to be of good cheer, all should be well enough. And he thanked the Duke, and prayed the messenger to bear it to his nephew, the Lord Richard, with the same message for his comfort, who he thought had more need of comfort, as one to whom such adversity was foreign. But for himself, he had been all his days used to a life therewith, and therefore could bear it the better. But for all this comfortable courtesy of the Duke of Gloucester, he sent the Lord Rivers and the Lord Richard with Sir Thomas Vaughan into the north country to different places to prison and, afterwards, all to Pomfrait, where they were, in conclusion, beheaded. In this way the Duke of Gloucester took upon himself the order and governance of the young king, whom, with much honor and humble reverence, he conveyed upward toward the city., Text: Section_24:  The Duke of Gloucester took upon himself the order and governance of the young king after the death of King Edward IV. He arrested the Lord Richard and Sir Thomas Vaughan in the King's presence and took them to Northampton. There they sent away from the King whomever it pleased them, and set new servants about him. The Duke of Gloucester sent a dish from his own table to the Lord Rivers, praying him to be of good cheer. The Lord Rivers and the Lord Richard were sent with Sir Thomas Vaughan to different places to prison and, afterwards, all to Pomfrait, where they were beheaded."
"Section_25: But as soon as the tidings of this matter came hastily to the Queen, a little before the midnight following, and that in the sorest way, that the King her son was taken; her brother, her son, and her other friends arrested, and sent to no man knew where, to be done with God knows what. With such tidings, the Queen, in great fright and heaviness, bewailing her child's ruin, her friends' mischance, and her own misfortune, damning the time that ever she spoke in opposition to the gathering of power about the King, got herself in all haste possible, with her younger son and her daughters, out of the Palace of Westminster in which she then lay, and into the sanctuary, lodging herself and her company there in the Abbot's place.","Section_25:  When Queen Elizabeth Woodville learned that her son, brother, and friends had been arrested, she fled to sanctuary with her younger son and daughters.","Summary: Section_25: But as soon as the tidings of this matter came hastily to the Queen, a little before the midnight following, and that in the sorest way, that the King her son was taken; her brother, her son, and her other friends arrested, and sent to no man knew where, to be done with God knows what. With such tidings, the Queen, in great fright and heaviness, bewailing her child's ruin, her friends' mischance, and her own misfortune, damning the time that ever she spoke in opposition to the gathering of power about the King, got herself in all haste possible, with her younger son and her daughters, out of the Palace of Westminster in which she then lay, and into the sanctuary, lodging herself and her company there in the Abbot's place., Text: Section_25:  When Queen Elizabeth Woodville learned that her son, brother, and friends had been arrested, she fled to sanctuary with her younger son and daughters."
"Section_26: Now came there in one messenger likewise, not long after midnight, from the Lord Chamberlain unto the Archbishop of York, then Chancellor of England, to his place not far from Westminster. And he showed the servants he had tidings of so great importance that his master gave him charge not to tolerate their master's rest; they denied not to wake him, nor he to admit this messenger into his bedside, from whom he heard that these dukes were gone back with the King's Grace from Stony Stratford unto Northampton.",Section_26:  William Hastings sends a messenger to the Archbishop of York to tell him that the dukes are on their way back to Northampton.,"Summary: Section_26: Now came there in one messenger likewise, not long after midnight, from the Lord Chamberlain unto the Archbishop of York, then Chancellor of England, to his place not far from Westminster. And he showed the servants he had tidings of so great importance that his master gave him charge not to tolerate their master's rest; they denied not to wake him, nor he to admit this messenger into his bedside, from whom he heard that these dukes were gone back with the King's Grace from Stony Stratford unto Northampton., Text: Section_26:  William Hastings sends a messenger to the Archbishop of York to tell him that the dukes are on their way back to Northampton."
"Section_27: Notwithstanding, sir,ù said he, my Lord sends your Lordship word that there is no fear, for he assures you that all shall be well.ù I assure him,ù said the Archbishop, be it as well as it will, it will never be so well as we have seen it.ù And thereupon, by and by, after the messenger departed, he caused in all the haste all his servants to be called up, and so with his own household about him, and every man armed, he took the Great Seal  with him, and came yet before day unto the Queen. About whom he found much heaviness, rumble, haste and business, carriage and conveyance of her stuff into sanctuaryîchests, coffers, packs, bundles, trusses, all on men's backs, no man unoccupied; some loading, some going, some discharging, some coming for more, some breaking down the walls to bring in the shortest way, and some yet drew to them that helped to carry the wrong way.","Section_27:  Archbishop Thomas Rotherham was greatly concerned when he heard that the Queen was sending all her belongings to sanctuary. He went to her and found her surrounded by her belongings, with people coming and going.","Summary: Section_27: Notwithstanding, sir,ù said he, my Lord sends your Lordship word that there is no fear, for he assures you that all shall be well.ù I assure him,ù said the Archbishop, be it as well as it will, it will never be so well as we have seen it.ù And thereupon, by and by, after the messenger departed, he caused in all the haste all his servants to be called up, and so with his own household about him, and every man armed, he took the Great Seal  with him, and came yet before day unto the Queen. About whom he found much heaviness, rumble, haste and business, carriage and conveyance of her stuff into sanctuaryîchests, coffers, packs, bundles, trusses, all on men's backs, no man unoccupied; some loading, some going, some discharging, some coming for more, some breaking down the walls to bring in the shortest way, and some yet drew to them that helped to carry the wrong way., Text: Section_27:  Archbishop Thomas Rotherham was greatly concerned when he heard that the Queen was sending all her belongings to sanctuary. He went to her and found her surrounded by her belongings, with people coming and going."
"Section_28: The Queen herself sat alone, down on the rushes, all desolate and dismayed, whom the Archbishop comforted in the best manner he could, showing her that he trusted the matter was nothing so sore as she took it for, and that he was put in good hope, and out of fear, by the message sent him from the Lord Chamberlain. Ah, he is worthy of woe,ù said she, for he is one of them that labors to destroy me and my blood.ù Madam,ù said he, be you of good cheer. For I assure you if they crown any other king than your son, whom they now have with them, we shall on the morrow crown his brother, whom you have here with you. And here is the Great Seal, which in the same way as that noble princeîyour husbandîdelivered it unto me, so here I deliver it unto you, to the use and benefit of your son.ù And therewith he granted her the Great Seal, and departed home again, yet in the dawning of the day.","Section_28: Queen Elizabeth Woodville was sitting alone and distraught when Archbishop Thomas Rotherham came to comfort her. He showed her the message he had received from Lord Chamberlain William Hastings and assured her that everything would be alright. Queen Elizabeth was wary of Hastings, as she believed he was one of those trying to destroy her and her family. Nevertheless, Rotherham gave her the Great Seal and left.","Summary: Section_28: The Queen herself sat alone, down on the rushes, all desolate and dismayed, whom the Archbishop comforted in the best manner he could, showing her that he trusted the matter was nothing so sore as she took it for, and that he was put in good hope, and out of fear, by the message sent him from the Lord Chamberlain. Ah, he is worthy of woe,ù said she, for he is one of them that labors to destroy me and my blood.ù Madam,ù said he, be you of good cheer. For I assure you if they crown any other king than your son, whom they now have with them, we shall on the morrow crown his brother, whom you have here with you. And here is the Great Seal, which in the same way as that noble princeîyour husbandîdelivered it unto me, so here I deliver it unto you, to the use and benefit of your son.ù And therewith he granted her the Great Seal, and departed home again, yet in the dawning of the day., Text: Section_28: Queen Elizabeth Woodville was sitting alone and distraught when Archbishop Thomas Rotherham came to comfort her. He showed her the message he had received from Lord Chamberlain William Hastings and assured her that everything would be alright. Queen Elizabeth was wary of Hastings, as she believed he was one of those trying to destroy her and her family. Nevertheless, Rotherham gave her the Great Seal and left."
"Section_29: By which time he might in his chamber window, see all the Thames full of boats of the Duke of Gloucester's servants, watching that no man should go to sanctuary, nor none could pass unsearched. Then was there great commotion and murmur as well in other places aboutîespecially in the city; the people all over were diversely speculating upon this dealing. And some lords, knights, and gentlemen, either for favor of the Queen, or for fear of themselves, assembled in sundry companies, and went by companies in armor, and many also, for that they reckoned this conduct attempted, not so specially against the other lords, as against the King himself in the disturbance of his coronation.","Section_29:  The people of the city were speculating about the Duke of Gloucester's actions and some lords, knights, and gentlemen assembled in groups and went around in armor. They thought that the Duke's actions were directed not only against the other lords, but also against the King himself and his coronation.","Summary: Section_29: By which time he might in his chamber window, see all the Thames full of boats of the Duke of Gloucester's servants, watching that no man should go to sanctuary, nor none could pass unsearched. Then was there great commotion and murmur as well in other places aboutîespecially in the city; the people all over were diversely speculating upon this dealing. And some lords, knights, and gentlemen, either for favor of the Queen, or for fear of themselves, assembled in sundry companies, and went by companies in armor, and many also, for that they reckoned this conduct attempted, not so specially against the other lords, as against the King himself in the disturbance of his coronation., Text: Section_29:  The people of the city were speculating about the Duke of Gloucester's actions and some lords, knights, and gentlemen assembled in groups and went around in armor. They thought that the Duke's actions were directed not only against the other lords, but also against the King himself and his coronation."
"Section_30: But then, by and by, the lords assembled together at London. To ward which meeting, the Archbishop of York, fearing that it would be ascribed (as it was indeed) to his overmuch lightness that he so suddenly had yielded up the Great Seal to the Queen to whom the custody thereof nothing pertained without special commandment of the King secretly sent for the Seal again and brought it with him after the customary manner. And at this meeting, the Lord Hastings, whose loyalty toward the King no man doubted nor needed to doubt, persuaded the lords to believe that the Duke of Gloucester was sure and fastly faithful to his Prince and that the Lord Rivers and Lord Richard with the other knights were, for matters attempted by them against the Dukes of Gloucester and Buckingham, put under arrest for the dukes' safety not for the King's jeopardy and that they were also in safeguard and should remain there no longer till the matter were, not by the dukes only but also by all the other lords of the King's Council indifferently examined and by other discretions ordered, and either judged or appeased. But one thing he advised them beware, that they judged not the matter too far forth before they knew the truthîfor by turning their private grudges into the common hurt, irritating and provoking men unto anger, and disturbing the King's coronation, toward which the dukes were coming up, they might perhaps bring the matter so far out of joint, that it should never be brought in frame again. This strife, if it should happen to come to battle, as it was likely, though both parties were in all things equal, yet should the authority be on that side where the King is himself.","Section_30:  The lords assembled at London, where Archbishop Thomas Rotherham secretly brought back the Great Seal. Lord Hastings persuaded the lords to believe that Duke of Gloucester was loyal to the Prince, and that Lord Rivers and Lord Richard were arrested for the dukes' safety. He advised them to beware of judging the matter too far forth before they knew the truth, as they might bring the matter so out of joint that it should never be brought in frame again. If the strife came to battle, the authority would be on the side where the King is himself.","Summary: Section_30: But then, by and by, the lords assembled together at London. To ward which meeting, the Archbishop of York, fearing that it would be ascribed (as it was indeed) to his overmuch lightness that he so suddenly had yielded up the Great Seal to the Queen to whom the custody thereof nothing pertained without special commandment of the King secretly sent for the Seal again and brought it with him after the customary manner. And at this meeting, the Lord Hastings, whose loyalty toward the King no man doubted nor needed to doubt, persuaded the lords to believe that the Duke of Gloucester was sure and fastly faithful to his Prince and that the Lord Rivers and Lord Richard with the other knights were, for matters attempted by them against the Dukes of Gloucester and Buckingham, put under arrest for the dukes' safety not for the King's jeopardy and that they were also in safeguard and should remain there no longer till the matter were, not by the dukes only but also by all the other lords of the King's Council indifferently examined and by other discretions ordered, and either judged or appeased. But one thing he advised them beware, that they judged not the matter too far forth before they knew the truthîfor by turning their private grudges into the common hurt, irritating and provoking men unto anger, and disturbing the King's coronation, toward which the dukes were coming up, they might perhaps bring the matter so far out of joint, that it should never be brought in frame again. This strife, if it should happen to come to battle, as it was likely, though both parties were in all things equal, yet should the authority be on that side where the King is himself., Text: Section_30:  The lords assembled at London, where Archbishop Thomas Rotherham secretly brought back the Great Seal. Lord Hastings persuaded the lords to believe that Duke of Gloucester was loyal to the Prince, and that Lord Rivers and Lord Richard were arrested for the dukes' safety. He advised them to beware of judging the matter too far forth before they knew the truth, as they might bring the matter so out of joint that it should never be brought in frame again. If the strife came to battle, the authority would be on the side where the King is himself."
"Section_31: With these arguments of the Lord Hastings part of which he believed; part, he knew the contrary these commotions were somewhat appeased, but especially because the Dukes of Gloucester and Buckingham were so near, and came so quickly on with the King, in none other manner, with none other voice or semblance, than to his coronation, causing the story to be blown about that those lords and knights who were taken had contrived the destruction of the Dukes of Gloucester and Buckingham and of other noble blood of the realm, to the end that they themselves would alone manage and govern the King at their pleasure. And for the false proof thereof, some of the dukes' servants rode with the carts of the stuff that were taken (among such stuff, no marvel, but that some of it were armor, which, at the breaking up of that household, must needs either be brought away or cast away), and they showed it unto the people all the way as they went: Lo, here be the barrels of armor that these traitors had privately conveyed in their carriage to destroy the noble lords withal.ù This device, although it made the matter to wise men more unlikely, who well perceived that, if the intenders meant war, they would rather have had their armor on their backs than to have bound them up in barrels, yet much part of the common people were therewith very well satisfied, and said it were like giving alms to hang them.","Section_31:  The Dukes of Gloucester and Buckingham were accused of planning to kill other noble blood of the realm. As proof, the people showed the armor that was found in the carts that the Dukes were riding in. However, this proof was false, as the armor was most likely left over from when the Dukes' household was broken up.","Summary: Section_31: With these arguments of the Lord Hastings part of which he believed; part, he knew the contrary these commotions were somewhat appeased, but especially because the Dukes of Gloucester and Buckingham were so near, and came so quickly on with the King, in none other manner, with none other voice or semblance, than to his coronation, causing the story to be blown about that those lords and knights who were taken had contrived the destruction of the Dukes of Gloucester and Buckingham and of other noble blood of the realm, to the end that they themselves would alone manage and govern the King at their pleasure. And for the false proof thereof, some of the dukes' servants rode with the carts of the stuff that were taken (among such stuff, no marvel, but that some of it were armor, which, at the breaking up of that household, must needs either be brought away or cast away), and they showed it unto the people all the way as they went: Lo, here be the barrels of armor that these traitors had privately conveyed in their carriage to destroy the noble lords withal.ù This device, although it made the matter to wise men more unlikely, who well perceived that, if the intenders meant war, they would rather have had their armor on their backs than to have bound them up in barrels, yet much part of the common people were therewith very well satisfied, and said it were like giving alms to hang them., Text: Section_31:  The Dukes of Gloucester and Buckingham were accused of planning to kill other noble blood of the realm. As proof, the people showed the armor that was found in the carts that the Dukes were riding in. However, this proof was false, as the armor was most likely left over from when the Dukes' household was broken up."
"Section_32: When the King approached near to the city, Edmund Shaa, goldsmith then mayor, with William White and John Mathew, sheriffs, and all the other aldermen in scarlet, with five hundred horse of the citizens in violet, received him reverently at Hornsey, and riding from thence, accompanied him in to the city, which he entered the fourth day of May, the first and last year of his reign.","Section_32:  When King Edward V approached the city, he was received reverently by Edmund Shaa, the mayor, and the other aldermen. They rode with him into the city, and he entered on the fourth day of May./n","Summary: Section_32: When the King approached near to the city, Edmund Shaa, goldsmith then mayor, with William White and John Mathew, sheriffs, and all the other aldermen in scarlet, with five hundred horse of the citizens in violet, received him reverently at Hornsey, and riding from thence, accompanied him in to the city, which he entered the fourth day of May, the first and last year of his reign., Text: Section_32:  When King Edward V approached the city, he was received reverently by Edmund Shaa, the mayor, and the other aldermen. They rode with him into the city, and he entered on the fourth day of May./n"
"Section_33: But the Duke of Gloucester bore himself in open sight so reverently to the Prince, with all semblance of lowliness, that from the great obloquy in which he was so late before, he was suddenly fallen in so great trust, that at the Council next assembled, he was the only man chosen and thought most suitable to be Protector of the King and his realm, so that îwere it destiny or were it follyî the lamb was given to the wolf to keep. At which Council also the Archbishop of York, Chancellor of England, who had delivered up the Great Seal to the Queen, was thereof greatly reproved, and the Seal taken from him and delivered to Doctor Russell, Bishop of Lincoln, a wise man and good and of much experience, and one of the best learned men undoubtedly that England had in his time. Diverse lords and knights were appointed unto diverse offices. The Lord Chamberlain and some others kept still their offices that they had before.","Section_33:  At a council meeting, Duke of Gloucester is made Protector and Archbishop of York is reproved. The Lord Chamberlain and some others keep their offices.","Summary: Section_33: But the Duke of Gloucester bore himself in open sight so reverently to the Prince, with all semblance of lowliness, that from the great obloquy in which he was so late before, he was suddenly fallen in so great trust, that at the Council next assembled, he was the only man chosen and thought most suitable to be Protector of the King and his realm, so that îwere it destiny or were it follyî the lamb was given to the wolf to keep. At which Council also the Archbishop of York, Chancellor of England, who had delivered up the Great Seal to the Queen, was thereof greatly reproved, and the Seal taken from him and delivered to Doctor Russell, Bishop of Lincoln, a wise man and good and of much experience, and one of the best learned men undoubtedly that England had in his time. Diverse lords and knights were appointed unto diverse offices. The Lord Chamberlain and some others kept still their offices that they had before., Text: Section_33:  At a council meeting, Duke of Gloucester is made Protector and Archbishop of York is reproved. The Lord Chamberlain and some others keep their offices."
"Section_34: Now all was such that the Protector so sore thirsted for the finishing of what he had begun îthough he thought every day a year till it were achievedî yet he dared no further attempt as long as he had but half his prey in hand, well knowing that if he deposed the one brother, all the realm would fall to the other, if he either remained in sanctuary or should by chance be shortly conveyed farther away to his liberty.","Section_34:  Richard III schemes to depose the princes, knowing that if he only deposes one, the other will take the throne if he remains in sanctuary or is conveyed to his liberty.","Summary: Section_34: Now all was such that the Protector so sore thirsted for the finishing of what he had begun îthough he thought every day a year till it were achievedî yet he dared no further attempt as long as he had but half his prey in hand, well knowing that if he deposed the one brother, all the realm would fall to the other, if he either remained in sanctuary or should by chance be shortly conveyed farther away to his liberty., Text: Section_34:  Richard III schemes to depose the princes, knowing that if he only deposes one, the other will take the throne if he remains in sanctuary or is conveyed to his liberty."
"Section_35: Wherefore straight away at the next meeting of the lords at the Council, he proposed unto them that it was a heinous deed of the Queen, and proceeding from great malice toward the King's counselors, that she should keep in sanctuary the King's brother from him, whose special pleasure and comfort were to have his brother with him. And that by her such was done to no other intent, but to bring all the lords in obloquy and murmur of the people, as though they were not to be trusted with the King's brotherîthey who were, by the assent of the nobles of the land, appointed as the King's nearest friends for the protection of his own royal person.","Section_35:  Richard III spoke to the lords, saying that it was a heinous deed of Queen Elizabeth Woodville to keep King Edward's brother in sanctuary. He said that she did this in order to make the lords look untrustworthy to the people.","Summary: Section_35: Wherefore straight away at the next meeting of the lords at the Council, he proposed unto them that it was a heinous deed of the Queen, and proceeding from great malice toward the King's counselors, that she should keep in sanctuary the King's brother from him, whose special pleasure and comfort were to have his brother with him. And that by her such was done to no other intent, but to bring all the lords in obloquy and murmur of the people, as though they were not to be trusted with the King's brotherîthey who were, by the assent of the nobles of the land, appointed as the King's nearest friends for the protection of his own royal person., Text: Section_35:  Richard III spoke to the lords, saying that it was a heinous deed of Queen Elizabeth Woodville to keep King Edward's brother in sanctuary. He said that she did this in order to make the lords look untrustworthy to the people."
"Section_36: The prosperity whereof stands,ù said he, not all in keeping from enemies or ill viands,  but partly also in recreation and moderate pleasure, which he cannot in this tender youth take in the company of elder persons, but in the familiar conversation of those who be neither far under nor far above his age, and nevertheless of state appropriate to accompany his noble majesty. Wherefore with whom rather than with his own brother? And if any man think this consideration light (which I think no man thinks who loves the King), let him consider that sometimes without small things, greater cannot stand. And verily it redounds greatly to the dishonor both of the King's Highness and of all us that have been about his Grace, to have it run in every man's mouth, not in this realm only, but also in other lands (as evil words walk far), that the King's brother should be glad to keep sanctuary. For every man will suppose that no man will so do for nothing. And such evil opinion, once fastened in men's hearts, hard it is to wrest out, and may grow to more grief than any man here can divine.","Section_36:  Richard III gives a speech against Queen Elizabeth Woodville, saying that it is undignified for the King's brother to be living in sanctuary. He argues that people will think that there must be a reason for it, and that this opinion could lead to more problems than anyone can imagine.","Summary: Section_36: The prosperity whereof stands,ù said he, not all in keeping from enemies or ill viands,  but partly also in recreation and moderate pleasure, which he cannot in this tender youth take in the company of elder persons, but in the familiar conversation of those who be neither far under nor far above his age, and nevertheless of state appropriate to accompany his noble majesty. Wherefore with whom rather than with his own brother? And if any man think this consideration light (which I think no man thinks who loves the King), let him consider that sometimes without small things, greater cannot stand. And verily it redounds greatly to the dishonor both of the King's Highness and of all us that have been about his Grace, to have it run in every man's mouth, not in this realm only, but also in other lands (as evil words walk far), that the King's brother should be glad to keep sanctuary. For every man will suppose that no man will so do for nothing. And such evil opinion, once fastened in men's hearts, hard it is to wrest out, and may grow to more grief than any man here can divine., Text: Section_36:  Richard III gives a speech against Queen Elizabeth Woodville, saying that it is undignified for the King's brother to be living in sanctuary. He argues that people will think that there must be a reason for it, and that this opinion could lead to more problems than anyone can imagine."
"Section_37: Wherefore I think it were not worst to send unto the Queen for the redress of this matter some honorable trusty man, such as both values the King's welfare and the honor of his Council, and is also in favor and credible with her. For all which considerations, none seems to me more suitable than our reverent father here present, my Lord Cardinal,  who may in this matter do most good of any man, if it please him to take the pain. Which I doubt not of his goodness he will not refuse, for the King's sake and ours, and the well being of the young Duke himself, the King's most honorable brother, and after my Sovereign Lord himself, my most dear nephew, considering that thereby shall be ceased the slanderous rumor and obloquy now going about, and the hurts avoided that thereof might ensue, and much rest and quiet grow to all the realm. And if she be perchance so obstinate, and so precisely set upon her own will that neither his wise and faithful instruction can move her, nor any man's reason content her, then shall we, by mine advice, by the King's authority, fetch him out of that prison, and bring him to his noble presence, in whose continual company he shall be so well cherished and so honorably treated that all the world shall to our honor, and her reproach, perceive that it was only malice, audacity, or folly, that caused her to keep him there. This is my mind in this matter for this time, except any of your lordships anything perceive to the contrary. For never shall I by God's grace so wed myself to mine own will, but that I shall be ready to change it upon your better advice.ù","Section_37:  Richard III gives a speech proposing that they send someone to talk to the Queen about the young Duke's imprisonment. He suggests that Cardinal Bourchier would be a good choice, as he is wise and trustworthy and has the favor of the Queen. If the Queen is obstinate, Richard III suggests that they fetch the Duke out of prison and treat him well, so that the world will see that it was only malice or folly that caused the Queen to keep him there.","Summary: Section_37: Wherefore I think it were not worst to send unto the Queen for the redress of this matter some honorable trusty man, such as both values the King's welfare and the honor of his Council, and is also in favor and credible with her. For all which considerations, none seems to me more suitable than our reverent father here present, my Lord Cardinal,  who may in this matter do most good of any man, if it please him to take the pain. Which I doubt not of his goodness he will not refuse, for the King's sake and ours, and the well being of the young Duke himself, the King's most honorable brother, and after my Sovereign Lord himself, my most dear nephew, considering that thereby shall be ceased the slanderous rumor and obloquy now going about, and the hurts avoided that thereof might ensue, and much rest and quiet grow to all the realm. And if she be perchance so obstinate, and so precisely set upon her own will that neither his wise and faithful instruction can move her, nor any man's reason content her, then shall we, by mine advice, by the King's authority, fetch him out of that prison, and bring him to his noble presence, in whose continual company he shall be so well cherished and so honorably treated that all the world shall to our honor, and her reproach, perceive that it was only malice, audacity, or folly, that caused her to keep him there. This is my mind in this matter for this time, except any of your lordships anything perceive to the contrary. For never shall I by God's grace so wed myself to mine own will, but that I shall be ready to change it upon your better advice.ù, Text: Section_37:  Richard III gives a speech proposing that they send someone to talk to the Queen about the young Duke's imprisonment. He suggests that Cardinal Bourchier would be a good choice, as he is wise and trustworthy and has the favor of the Queen. If the Queen is obstinate, Richard III suggests that they fetch the Duke out of prison and treat him well, so that the world will see that it was only malice or folly that caused the Queen to keep him there."
"Section_38: When the Protector had spoken, all the Council affirmed that the motion was good and reasonable, and to the King and the Duke his brother, honorable, and a thing that should cease great murmur in the realm, if the mother might be by good means induced to deliver him. Such a thing the Archbishop of Canterbury, whom they all agreed also to be thereto most appropriate, took upon himself to move her, and therein to give his uttermost best effort. However, if she could be in no way entreated with her good will to deliver him, then thought he and such others as were of the clergy present that it were not in any way to be attempted to take him out against her will. For it would be a thing that should turn to the great grudge of all men, and high displeasure of God, if the privilege of the holy place should now be broken, which had so many years been kept, and which both kings and popes so good had granted, so many had confirmed, and which holy ground was more than five hundred years ago by Saint Peter, his own person come in spirit by night, accompanied with great multitude of angels, so specially hallowed and dedicated it to God (for the proof whereof they have yet in the Abbey Saint Peter's cloak to show) that from that time forward was there never so undevout a king who dared that sacred place to violate, or so holy a bishop that dared presume to consecrate.","Section_38:  The Council agrees with Richard's proposal to take Edward from sanctuary, and debate the issue of sanctuary. The Archbishop of Canterbury takes it upon himself to speak to Edward's mother, and if she cannot be entreated to deliver him, then they should not attempt to take him out against her will.","Summary: Section_38: When the Protector had spoken, all the Council affirmed that the motion was good and reasonable, and to the King and the Duke his brother, honorable, and a thing that should cease great murmur in the realm, if the mother might be by good means induced to deliver him. Such a thing the Archbishop of Canterbury, whom they all agreed also to be thereto most appropriate, took upon himself to move her, and therein to give his uttermost best effort. However, if she could be in no way entreated with her good will to deliver him, then thought he and such others as were of the clergy present that it were not in any way to be attempted to take him out against her will. For it would be a thing that should turn to the great grudge of all men, and high displeasure of God, if the privilege of the holy place should now be broken, which had so many years been kept, and which both kings and popes so good had granted, so many had confirmed, and which holy ground was more than five hundred years ago by Saint Peter, his own person come in spirit by night, accompanied with great multitude of angels, so specially hallowed and dedicated it to God (for the proof whereof they have yet in the Abbey Saint Peter's cloak to show) that from that time forward was there never so undevout a king who dared that sacred place to violate, or so holy a bishop that dared presume to consecrate., Text: Section_38:  The Council agrees with Richard's proposal to take Edward from sanctuary, and debate the issue of sanctuary. The Archbishop of Canterbury takes it upon himself to speak to Edward's mother, and if she cannot be entreated to deliver him, then they should not attempt to take him out against her will."
"Section_39: And therefore,ù said the Archbishop of Canterbury, God forbid that any man should for any earthly enterprise break the immunity and liberty of that sacred sanctuary that has been the safeguard of so many a good man's life. And I trust,ù said he, with God's grace, we shall not need it. But for any manner need, I would not we should do it. I trust that she shall be with reason contented, and all things in good manner obtained. And if it happen that I bring it not so to pass, yet shall I toward it so far forth do my best, that you shall all well perceive that no lack of my dutiful efforts, but the mother's dread and womanish fear, shall be the impediment.ù","Section_39:  Archbishop Thomas Rotherham defends sanctuary, saying that it is a sacred place that should not be disturbed for any earthly reason. He says that he will do his best to obtain what they want from the queen, but that her fear is the only impediment.","Summary: Section_39: And therefore,ù said the Archbishop of Canterbury, God forbid that any man should for any earthly enterprise break the immunity and liberty of that sacred sanctuary that has been the safeguard of so many a good man's life. And I trust,ù said he, with God's grace, we shall not need it. But for any manner need, I would not we should do it. I trust that she shall be with reason contented, and all things in good manner obtained. And if it happen that I bring it not so to pass, yet shall I toward it so far forth do my best, that you shall all well perceive that no lack of my dutiful efforts, but the mother's dread and womanish fear, shall be the impediment.ù, Text: Section_39:  Archbishop Thomas Rotherham defends sanctuary, saying that it is a sacred place that should not be disturbed for any earthly reason. He says that he will do his best to obtain what they want from the queen, but that her fear is the only impediment."
